event_id,event_type,event_time,vendor,order_id,transaction_id,tracking_id,amount,currency,status,region,ingested_at,quality_bucket,is_late_arrival,is_warning,is_critical,is_anomaly
1d67da05891e32de6af3a12785c78a14f0b82db6,refunds_historical,1688291445,vendor_c,ORD-000001,,,4000.0,NGN,,,2026-02-19T15:51:14Z,warning,True,True,False,True
92743f39ce04e07c4879371598915ded7f1ca917,orders_historical,2023-05-07T16:14:42Z,vendor_b,ORD-000002,,,102300.0,NGN,Kaduna,Kaduna,2026-02-19T15:51:13Z,warning,True,True,False,True
75284008e4970022634263ac76c9848b1d4af8dd,orders_historical,,vendor_c,ORD-000003,,,20100.0,NGN,,PH,2026-02-19T15:51:13Z,critical,False,False,True,True
41610589d80330ea3b0264910a07a0693592c261,shipments_historical,,vendor_b,ORD-000004,,TRK5437558,,,,,2026-02-19T15:51:14Z,critical,False,False,True,True
9ae86b5f9f6bfc18462e01004fb88880143ac3dc,shipments_historical,,vendor_c,ORD-000005,,417165505,,,,,2026-02-19T15:51:14Z,critical,False,False,True,True
ac22d22eeea9a04772c8c4bb3ac4adb4aab769cc,orders_historical,2023-03-31 19:30,vendor_a,ORD-000006,,,63000.0,NGN,,Kaduna,2026-02-19T15:51:13Z,warning,True,True,False,True
9f1a8902e74945b91550ba91310be6e8c3b72c8f,refunds_historical,1690135775,vendor_c,ORD-000007,,,25000.0,NGN,,,2026-02-19T15:51:14Z,warning,True,True,False,True
eb6eb88ff24a843d2756e80123b1f9dde8c4f069,refunds_historical,2023-09-27T20:19:34Z,vendor_b,ORD-000008,,,9000.0,NGN,,,2026-02-19T15:51:14Z,warning,True,True,False,True
2f6ce12c4ee76031d44b8dc853bffa02f10f9767,shipments_historical,,vendor_b,ORD-000009,,TRK5656364,,,,,2026-02-19T15:51:14Z,critical,False,False,True,True
3affcc48d87aee85897d0cf6ca3317d20d9b97c0,shipments_historical,,vendor_a,ORD-000010,,TRK-1c39d87c8301,,,,,2026-02-19T15:51:14Z,critical,False,False,True,True
473d150f9cb54004dde5475dae8440fcd1571ca2,payments_historical,1689069760,vendor_c,ORD-000011,TRX668054,,12000.0,NGN,FAILED,FAILED,2026-02-19T15:51:13Z,warning,True,True,False,True
